name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
Upanishad Ganga vol. 1 to 12 (Complete Set),2500.0,N/A,N/A,https://www.amazon.in/Upanishad-Ganga-vol-Complete-Set/dp/B00LPCS57C/ref=zg_bs_g_21360355031_d_sccl_3/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00LPCS57C?&linkCode=ll1&tag=902300-21&linkId=a47b4ba80250eff01d0bca56&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51wxSCa98ZL._SX300_SY300_QL70_ML2_.jpg,Special Interest,Crime & Thriller > Special Interest,2,Crime & Thriller
Rulers of India: Ashoka,210.0,299.0,30%,https://www.amazon.in/Rulers-India-Ashoka-Kishor-Sadhwani/dp/B005WJZU5Y/ref=zg_bs_g_21360355031_d_sccl_5/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B005WJZU5Y?&linkCode=ll1&tag=902300-21&linkId=e0443673d345ff247f188ae9&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51UiUqMzBcL._SX300_SY300_QL70_ML2_.jpg,Special Interest,Crime & Thriller > Special Interest,2,Crime & Thriller
Rulers of India-Shivaji,199.0,399.0,50%,https://www.amazon.in/Rulers-India-Shivaji-Kishor-Sadhwani/dp/B005VE14LY/ref=zg_bs_g_21360355031_d_sccl_6/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B005VE14LY?&linkCode=ll1&tag=902300-21&linkId=885c72205cd1962770435a50&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51TM8cTwHiL._SX300_SY300_QL70_ML2_.jpg,Special Interest,Crime & Thriller > Special Interest,2,Crime & Thriller
Universe in 3D,2449.0,N/A,N/A,https://www.amazon.in/The-Universe-In-3D-Blu-ray/dp/B008NNYA0C/ref=zg_bs_g_21360355031_d_sccl_10/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B008NNYA0C?&linkCode=ll1&tag=902300-21&linkId=3a7c6102dc8d15c3ec5214e8&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51HcLgiEW7L._SX300_SY300_QL70_ML2_.jpg,Special Interest,Crime & Thriller > Special Interest,2,Crime & Thriller
DriveClub - Greatest Hits Edition for PlayStation 4,2212.0,3999.0,45%,https://www.amazon.in/DriveClub-Greatest-Hits-PlayStation-4/dp/B07DNM11PC/ref=zg_bs_g_21360356031_d_sccl_6/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B07DNM11PC?&linkCode=ll1&tag=902300-21&linkId=cb4aaf5c2220cc468fb2897a&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/511Zp3B8m3L._SX300_SY300_QL70_ML2_.jpg,Sports,Crime & Thriller > Sports,2,Crime & Thriller
Electronic Arts Battlefield V Nla,2290.0,N/A,N/A,https://www.amazon.in/Electronic-Arts-37245-Battlefield-PlayStation/dp/B07D767FMV/ref=zg_bs_g_21360356031_d_sccl_10/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B07D767FMV?&linkCode=ll1&tag=902300-21&linkId=b84e1fd3a4af301a2730604c&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51uBAN5JJlL._SX300_SY300_QL70_ML2_.jpg,Sports,Crime & Thriller > Sports,2,Crime & Thriller
Elvis Presley in Flaming Star,490.0,999.0,51%,https://www.amazon.in/Elvis-Presley-Flaming-Star/dp/B00LHI3FXI/ref=zg_bs_g_21360360031_d_sccl_2/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00LHI3FXI?&linkCode=ll1&tag=902300-21&linkId=fa0e1cb21a1586cf07a07a22&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51072sk88ZL._SX300_SY300_QL70_ML2_.jpg,Western,Crime & Thriller > Western,2,Crime & Thriller
The Big Country,999.0,N/A,N/A,https://www.amazon.in/Big-Country-Gregory-Peck/dp/B0086F8DF0/ref=zg_bs_g_21360360031_d_sccl_12/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B0086F8DF0?&linkCode=ll1&tag=902300-21&linkId=53de5350f1750128093d0e6b&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51dZ-E0PMiL._SX300_SY300_QL70_ML2_.jpg,Western,Crime & Thriller > Western,2,Crime & Thriller
Vera Cruz,590.0,999.0,41%,https://www.amazon.in/Vera-Cruz-Gary-Cooper/dp/B008VE26XQ/ref=zg_bs_g_21360360031_d_sccl_15/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B008VE26XQ?&linkCode=ll1&tag=902300-21&linkId=e8c309f9457f80edded5d58b&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51BZOq2xDuL._SX300_SY300_QL70_ML2_.jpg,Western,Crime & Thriller > Western,2,Crime & Thriller
Fit in 5 to 20 minutes - Belly Fat Blitz,59.0,299.0,80%,https://www.amazon.in/Fit-20-minutes-Belly-Blitz/dp/B00HA5A648/ref=zg_bs_g_21360344031_d_sccl_19/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00HA5A648?&linkCode=ll1&tag=902300-21&linkId=e65f78fcbfec37d148a0b91e&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/5160rFhqLzL._SX300_SY300_QL70_ML2_.jpg,Fitness & Wellness,Documentary > Fitness & Wellness,2,Documentary
Vaat Rogo Ke Liye/Yog for Arthritis - Hindi/English,125.0,N/A,N/A,https://www.amazon.in/Vaat-Rogo-Liye-Yog-Arthritis/dp/B01N7M3F6C/ref=zg_bs_g_21360344031_d_sccl_20/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B01N7M3F6C?&linkCode=ll1&tag=902300-21&linkId=2f215cada1852b8e53e569f7&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51tZ7U1d8-L._SX300_SY300_QL70_ML2_.jpg,Fitness & Wellness,Documentary > Fitness & Wellness,2,Documentary
The Truth About Lions,59.0,499.0,88%,https://www.amazon.in/The-Truth-About-Lions/dp/B00KPTIBMK/ref=zg_bs_g_21360355031_d_sccl_13/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00KPTIBMK?&linkCode=ll1&tag=902300-21&linkId=d0f7435bbad6c1c59eb3137b&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51RG55oSQML._SY300_SX300_QL70_ML2_.jpg,Special Interest,Documentary > Special Interest,2,Documentary
