name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"SAINTIMO ® Pyrite dust Plate Frame for Wealth, Money,| Pyrite Stone Ring Success | and Abundance braclte for Money Magnet 3pcs Set (Pyrite Frame+Ring+ braclte)",999.0,1999.0,50%,https://www.amazon.in/SAINTIMO-Pyrite-Success-Abundance-braclte/dp/B0DGRQCCQ3/ref=zg_bs_g_4330651031_d_sccl_27/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0DGRQCCQ3?&linkCode=ll1&tag=902300-21&linkId=d9d4b5211f7e1d5af5b89633&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51a1DrG4PNL._SX300_SY300_QL70_ML2_.jpg,Loose Gemstones & Diamonds,Boys > Loose Gemstones & Diamonds,2,Boys
Generic Silver/Bronze Tone Fullmetal Pocket Watch Design Boys Pendant Necklace Chain Best Gift,299.0,859.0,N/A,https://www.amazon.in/Generic-Silver-Fullmetal-Pendant-Necklace/dp/B0BY595D9M/ref=zg_bs_g_7124405031_d_sccl_5/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0BY595D9M?&linkCode=ll1&tag=902300-21&linkId=63e370938bbe0ffb5967539d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41jyejwgjNL._SX300_SY300_QL70_ML2_.jpg,Pendants,Boys > Pendants,2,Boys
"Shivanjali Plus Gems - God Hanuman Gada (Ghota, Mace) Pendant/Locket Sun Gemstone Charms Healing Stone Pendant with chain for Men, Women & Children Size - 25 x 10 x 10 mm Approx.",349.0,2999.0,N/A,https://www.amazon.in/Shivanjali-Plus-Gems-Gemstone-Children/dp/B09GW4CQ6M/ref=zg_bs_g_7124405031_d_sccl_6/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B09GW4CQ6M?&linkCode=ll1&tag=902300-21&linkId=5c8996eb0c5e57c4407601e3&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31cpsa-kgZL._SY300_SX300_.jpg,Pendants,Boys > Pendants,2,Boys
"El Regalo 3 PCs Christmas FFF Best Friend Forever Necklaces Set- Xmas, Christmas Jewelry Gift for Best Friends/Besties/Kids/Girls/Boys",399.0,699.0,N/A,https://www.amazon.in/El-Regalo-Christmas-Forever-Necklaces/dp/B0BPP15XZT/ref=zg_bs_g_7124405031_d_sccl_11/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0BPP15XZT?&linkCode=ll1&tag=902300-21&linkId=44a878d0aa969d3119a1c332&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41YxTVpQzeL._SY300_SX300_QL70_ML2_.jpg,Pendants,Boys > Pendants,2,Boys
"BELLINA Black Studded Finger Ring, Black Matte Ring And Square Design Ring Set With Cuboid Bar Neck Pendant For Boys And Men (Pack Of 4)",349.0,N/A,N/A,https://www.amazon.in/BELLINA-Studded-Finger-Square-Pendant/dp/B0B8YXMGW2/ref=zg_bs_g_7124406031_d_sccl_9/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0B8YXMGW2?&linkCode=ll1&tag=902300-21&linkId=547b3e4b763700ebc91b4339&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31wzl0l5Z5L._SY300_SX300_.jpg,Rings,Boys > Rings,2,Boys
SUSVIJ BLACK THREAD LEG (Pack of 4),199.0,399.0,50%,https://www.amazon.in/SUSVIJ-BLACK-THREAD-LEG-Pack/dp/B0D8M2H9VW/ref=zg_bs_g_7124370031_d_sccl_18/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0D8M2H9VW?&linkCode=ll1&tag=902300-21&linkId=dd0c0bba51c2887f9c6a65c2&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31qHDoeg7zL._SY300_SX300_QL70_ML2_.jpg,Anklets,Girls > Anklets,2,Girls
TERA 13 Plastic Unicorn Bracelet with Finger Ring Attached for Kids/Unicorn Bracelet/Unicorn Bracelet for Kids/Unicorn Ring/Unicorn Ring for Kids Multicolor (Pack of 2),250.0,599.0,58%,https://www.amazon.in/TERA-13-bracelet-attached-multicolor/dp/B096ZSPWBJ/ref=zg_bs_g_7124371031_d_sccl_26/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B096ZSPWBJ?&linkCode=ll1&tag=902300-21&linkId=1524753287948857aa7c1ebb&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41xrNIKh66L._SX300_SY300_QL70_ML2_.jpg,Bangles & Bracelets,Girls > Bangles & Bracelets,2,Girls
ARKAM Seven Mukhi Rudraksha Certified/Original Nepali 7 Mukhi Rudraksh/Natural 7 faced Rudraksha (Brown) with Certificate and Puja Instructions,499.0,799.0,38%,https://www.amazon.in/ARKAM-Rudraksha-Certified-Certificate-Instructions/dp/B09MKSR4VD/ref=zg_bs_g_4330647031_d_sccl_2/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B09MKSR4VD?&linkCode=ll1&tag=902300-21&linkId=fa169bea732418f3f40d4444&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/413M1sCJDrL._SX300_SY300_QL70_ML2_.jpg,Beads & Charms,Girls > Beads & Charms,2,Girls
AstroCart Natural 2 Mukhi Rudraksha Nepali With Capping Or Dori 2 Face Rudraksha Nepali Loose Bead Original Certified By Lab Do Mukhi Rudraksh Beech Brown Beads 2 Blessing Ardhnarishwara,499.0,1200.0,58%,https://www.amazon.in/AstroCart-%E0%A4%B0%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%B7-Rudraksha-Original-Certified/dp/B09NBNXRNH/ref=zg_bs_g_4330647031_d_sccl_11/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B09NBNXRNH?&linkCode=ll1&tag=902300-21&linkId=4e29bbb23ee8b7cbbac5acf2&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51P3n-1BvQL._SX300_SY300_QL70_ML2_.jpg,Beads & Charms,Girls > Beads & Charms,2,Girls
8 Mukhi Rudraksha Original Certified Nepali Size10 mm with Pandent Blessed by Lord Shiva 8 Face Rudraksha Original Certified Nepal with in Brown Colour,349.0,599.0,42%,https://www.amazon.in/Rudraksha-Original-Certified-Pandent-Blessed/dp/B0DKY11CJM/ref=zg_bs_g_4330647031_d_sccl_23/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0DKY11CJM?&linkCode=ll1&tag=902300-21&linkId=9d48d9972c5a30baca02db13&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51Fft+HNshL._SX300_SY300_.jpg,Beads & Charms,Girls > Beads & Charms,2,Girls
